occurrenceID,verbatimMeasurementType,measurementType,measurementValue,measurementUnit
TANGO_1-SCUBA_8-S2_O10-378,height,Height of sea urchin in mm,20,mm
TANGO_1-SCUBA_8-S2_O10-378,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-16.64,per mille
TANGO_1-SCUBA_8-S2_O10-378,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.35,per mille
TANGO_1-SCUBA_8-S2_O10-378,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.52,per mille
TANGO_1-SCUBA_8-S2_O11-379,sizeAmbitus,Size ambitus of sea urchin in mm,42,mm
TANGO_1-SCUBA_8-S2_O11-379,height,Height of sea urchin in mm,25,mm
TANGO_1-SCUBA_8-S2_O11-379,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-16.77,per mille
TANGO_1-SCUBA_8-S2_O11-379,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.03,per mille
TANGO_1-SCUBA_8-S2_O11-379,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.24,per mille
TANGO_1-SCUBA_8-S2_O12-380,sizeAmbitus,Size ambitus of sea urchin in mm,46,mm
TANGO_1-SCUBA_8-S2_O12-380,height,Height of sea urchin in mm,25,mm
TANGO_1-SCUBA_8-S2_O12-380,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-15.32,per mille
TANGO_1-SCUBA_8-S2_O12-380,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.59,per mille
TANGO_1-SCUBA_8-S2_O12-380,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.59,per mille
TANGO_1-SCUBA_8-S2_O13-381,sizeAmbitus,Size ambitus of sea urchin in mm,42,mm
TANGO_1-SCUBA_8-S2_O13-381,height,Height of sea urchin in mm,22,mm
TANGO_1-SCUBA_8-S2_O13-381,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-14.78,per mille
TANGO_1-SCUBA_8-S2_O13-381,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.65,per mille
TANGO_1-SCUBA_8-S2_O13-381,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.43,per mille
TANGO_1-SCUBA_8-S2_O14-382,sizeAmbitus,Size ambitus of sea urchin in mm,48,mm
TANGO_1-SCUBA_8-S2_O14-382,height,Height of sea urchin in mm,26,mm
TANGO_1-SCUBA_8-S2_O14-382,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-13.75,per mille
TANGO_1-SCUBA_8-S2_O14-382,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.55,per mille
TANGO_1-SCUBA_8-S2_O14-382,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.89,per mille
TANGO_1-SCUBA_8-S2_O15-383,sizeAmbitus,Size ambitus of sea urchin in mm,45,mm
TANGO_1-SCUBA_8-S2_O15-383,height,Height of sea urchin in mm,24,mm
TANGO_1-SCUBA_8-S2_O15-383,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-13.76,per mille
TANGO_1-SCUBA_8-S2_O15-383,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.44,per mille
TANGO_1-SCUBA_8-S2_O15-383,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.41,per mille
TANGO_1-SCUBA_8-S2_O16-384,sizeAmbitus,Size ambitus of sea urchin in mm,33,mm
TANGO_1-SCUBA_8-S2_O16-384,height,Height of sea urchin in mm,17,mm
TANGO_1-SCUBA_8-S2_O16-384,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-14.5,per mille
TANGO_1-SCUBA_8-S2_O16-384,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.35,per mille
TANGO_1-SCUBA_8-S2_O16-384,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.68,per mille
TANGO_1-SCUBA_8-S2_O17-385,sizeAmbitus,Size ambitus of sea urchin in mm,42,mm
TANGO_1-SCUBA_8-S2_O17-385,height,Height of sea urchin in mm,22,mm
TANGO_1-SCUBA_8-S2_O17-385,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-15.15,per mille
TANGO_1-SCUBA_8-S2_O17-385,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.67,per mille
TANGO_1-SCUBA_8-S2_O17-385,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.59,per mille
TANGO_1-SCUBA_8-S2_O18-386,sizeAmbitus,Size ambitus of sea urchin in mm,43,mm
TANGO_1-SCUBA_8-S2_O18-386,height,Height of sea urchin in mm,24,mm
TANGO_1-SCUBA_8-S2_O18-386,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-15.21,per mille
TANGO_1-SCUBA_8-S2_O18-386,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.66,per mille
TANGO_1-SCUBA_8-S2_O18-386,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.54,per mille
